post_id,candidato,tema,polarizacion_consenso,umap_x,umap_y
1pfpu19,kast,identidad,0.405,-1.7048861,-1.7520928
1mu4a7p,kast,identidad,0.25,-5.891695,0.58851564
1mj42es,kast,democracia,0.3375,-1.0732275,1.7352515
1punlh3,kast,economia,0.25,-4.4642444,2.63694
1ojbctk,kast,identidad,0.3,-0.8312028,-1.8781567
1p51bbn,kast,campana_electoral,0.15,-5.613371,1.008476
1pm4fyp,kast,campana_electoral,0.45,3.678714,2.2731233
1p685ly,kast,democracia,0.25,6.1892633,-3.8615396
1ptso35,kast,campana_electoral,0.5,-4.0337486,-0.9599232
1ozr3vo,kast,identidad,0.65,1.4276774,5.9962063
1pirq5c,kast,identidad,0.45,1.3547885,4.3978047
1panv89,kast,democracia,0.45,-2.4763339,5.7117686
1pmve6s,kast,economia,0.2,3.352311,2.2394247
1oysbv9,kast,democracia,0.15,2.281597,3.6787546
1n0vi3v,kast,economia,0.5,2.4185395,7.049426
1pamnhx,kast,identidad,0.3,3.1105435,0.0435103
1pk643n,kast,migracion,0.65,13.618536,3.3374887
1pfc0v6,kast,economia,0.5,2.6534076,6.999073
1p93d1j,kast,democracia,0.6,6.6813145,1.3350016
1odasqj,kast,democracia,0.25,0.14139311,-5.0261593
1mzcsnh,kast,medios_fakenews,0.3,0.09037493,2.2744493
1p85nwp,kast,migracion,0.54,1.2740028,5.961975
1p685ly,kast,democracia,0.2,2.6404877,-5.1500793
1panv89,kast,economia,0.5,0.92739683,5.691455
1p685ly,kast,democracia,0.4,-0.019048333,6.70692
1n68ebj,kast,economia,0.3,-0.16784774,4.1167793
1pjvw2h,kast,medios_fakenews,0.2,1.342364,3.4451435
1qi3nw6,kast,campana_electoral,0.5,0.6580301,2.445497
1p1ciuo,kast,migracion,0.5,2.5500865,7.2965903
1ofv31w,kast,democracia,0.6,2.9190912,-6.6216054
1podogf,kast,religion_valvores,0.25,-0.32270277,4.6066504
1pim245,kast,migracion,0.5,-0.066878624,5.02309
1pirz1b,kast,campana_electoral,0.55,-0.0034344164,6.738338
1ov4fyd,kast,campana_electoral,0.3,-4.375861,2.4292383
1pmrg54,kast,seguridad,0.2,3.591885,1.5676664
1oykts7,kast,democracia,0.1,0.08956331,-5.116068
1ppy1q8,kast,moral,0.495,-0.07709917,3.726399
1odgz5s,kast,democracia,0.45,-0.05069571,4.9664764
1o0acgm,kast,economia,0.1,-1.5519209,2.4563935
1o6or32,kast,campana_electoral,0.7975,-5.812596,0.700915
1pmd64j,kast,economia,0.5,1.3808434,6.0011625
1oyzrkp,kast,identidad,0.6525,0.10995786,-1.5983791
1pnpp3a,kast,migracion,0.25,-1.5449424,0.8167782
1nc7fmf,kast,identidad,0.35,0.5847605,-1.5060326
1pogtay,kast,religion_valvores,0.5,1.283653,3.4044323
1qi9uy1,kast,economia,0.35,0.4957982,4.866394
1p7f3zy,kast,identidad,0.3,2.534206,-5.60929
1ol4b8d,kast,economia,0.25,13.595159,3.3387206
1ozic2j,kast,campana_electoral,0.54,6.600645,-1.7631845
1nfg06h,kast,democracia,0.4,1.1565065,2.9496124
1punlh3,kast,economia,0.55,-1.7218604,11.646168
1ocxx6v,kast,moral,0.25,-3.2494545,-0.5674805
1oyzrkp,kast,identidad,0.4,-2.5430439,-0.17607664
1ogy8dt,kast,democracia,0.1,13.602038,3.2920227
1oxbq0o,kast,democracia,0.45,6.142568,1.1149179
1mpllir,kast,seguridad,0.5,2.7458193,5.5472407
1pnh9en,kast,economia,0.5,-1.0716741,-2.016465
1pmsh2q,kast,identidad,0.35,1.36373,2.6345668
1p0vozh,kast,democracia,0.675,0.76285565,-0.30144382
1pf3am1,kast,identidad,0.5,3.2027688,-2.4969487
1nbz7ss,kast,campana_electoral,0.25,-2.3441174,-0.15281351
1ozkdbs,kast,seguridad,0.9425,3.720119,2.2933733
1pptqgo,kast,venezuela_latam,0.5,1.4037075,5.9943614
1ng63gu,kast,campana_electoral,0.81,-2.240092,3.8121266
1ppn7u7,kast,democracia,0.725,-2.1347642,1.7720906
1pn6s5n,kast,moral,0.55,-0.10723103,0.6601574
1p0pwyi,kast,campana_electoral,0.65,5.3856544,-0.8738197
1p2lz2i,kast,moral,0.495,-0.6824904,0.43905485
1p77rvw,kast,democracia,0.3,-2.0040586,11.770837
1odasqj,kast,economia,0.35,0.24858263,5.144506
1ohbx9k,kast,campana_electoral,0.45,-2.786697,2.1369848
1nw8ejr,kast,identidad,0.65,0.6559712,1.7731255
1ppg588,kast,migracion,0.5,0.4255755,3.5245275
1oqh6td,kast,campana_electoral,0.4725,5.3217154,-0.9666441
1o5nt41,kast,democracia,0.87,-1.4585985,3.1010985
1puw0am,kast,identidad,0.25,0.74004686,-0.5737173
1oz2m6o,kast,identidad,0.6,0.76776654,2.0048852
1n1q27w,kast,identidad,0.65,0.48381948,3.017262
1pmcvvc,kast,medios_fakenews,0.35,-0.63643146,4.8192086
1pnq5tx,kast,migracion,0.5,3.543441,1.9557762
1ppssr2,kast,economia,0.35,-2.9338126,3.491133
1pms5i6,kast,democracia,0.84,3.3616743,-2.5344093
1pnieic,kast,seguridad,0.4375,6.7256255,1.3008453
1okogou,kast,democracia,0.35,0.30718955,-1.4183193
1nno6ng,kast,democracia,0.72,1.9174246,5.019022
1oyzrkp,kast,democracia,0.65,0.76642394,-0.63370824
1pmut6t,kast,democracia,0.6,1.209934,0.5503073
1ozi7gj,kast,democracia,0.4,1.0233558,-0.58742774
1pdxls8,kast,seguridad,0.35,-0.7183305,3.9924722
1o3kq9x,kast,campana_electoral,0.54,2.0801687,-0.7591214
1p8jgq5,kast,campana_electoral,0.3,3.4408584,0.5997969
1n5ebdc,kast,campana_electoral,0.25,-2.5488307,11.468222
1mzz0qf,kast,seguridad,0.2,1.7197654,4.7909627
1pqxu5p,kast,identidad,0.725,3.0012653,2.0929725
1oxmuxv,kast,democracia,0.15,-6.0600634,6.692866
1piy6kx,kast,campana_electoral,0.15,1.7214543,4.5635223
1p40bf8,kast,economia,0.35,0.8669005,0.39016986
1pqxu5p,kast,identidad,0.5,-1.8671947,0.14161983
1oz2z5x,kast,democracia,0.45,0.16076908,-5.471082
1p6sgl1,kast,pinochet_ddhh,0.55,-1.7138186,-0.10191218
1ovzt0c,kast,democracia,0.15,2.1432207,-7.465569
1o3kq9x,kast,seguridad,0.6,2.1674519,1.2554501
1pt4vu2,kast,economia,0.6,-4.296177,2.2976477
1pca9qu,kast,democracia,0.6,2.2863946,3.9141173
1p2lz2i,kast,pinochet_ddhh,1.0,3.0998712,-2.4027312
1p2z4yu,kast,seguridad,0.6875,2.3483233,2.289403
1puw0am,kast,identidad,0.6,-3.542571,-0.75070286
1obuwsk,kast,economia,0.45,-0.22807613,4.238954
1mv3lzu,kast,medios_fakenews,0.2,-2.4578114,5.666918
1pnpp3a,kast,seguridad,0.2,-1.9909073,11.626526
1p8vx9e,kast,identidad,0.25,-2.231937,4.1892495
1od9th6,kast,identidad,0.45,-2.096664,-0.3721262
1oj9mzu,kast,democracia,0.6,-0.6074683,5.1502357
1pgj05n,kast,identidad,0.25,-4.603162,5.5117702
1p5piot,kast,campana_electoral,0.55,-5.763415,0.7562619
1p8jgq5,kast,democracia,0.45,-2.211802,-0.10218253
1nw8ejr,kast,democracia,0.35,-0.45850825,2.566532
1pd7mcy,kast,moral,0.55,1.1026506,6.136821
1o1fqwt,kast,campana_electoral,0.4,-1.6890224,0.5250334
1ndknr3,kast,democracia,0.66,2.457885,-1.0841885
1oz0zv1,kast,democracia,0.45,0.7773272,-0.38339436
1oqh6td,kast,campana_electoral,0.35,5.6741037,-1.5283357
1oxwrh4,kast,seguridad,0.5,2.1740127,4.0362854
1oh2bx3,kast,identidad,0.4,-6.14886,3.904903
1pr0u1l,kast,campana_electoral,0.65,-4.026641,-1.1071644
1phxmq4,kast,seguridad,0.7,2.937031,5.027271
1n1q27w,kast,identidad,0.4,-0.36177653,-0.8940846
1nfg06h,kast,pinochet_ddhh,0.5,3.4252093,-2.0423043
1pe1csq,kast,seguridad,0.81,-0.689813,1.660291
1pk643n,kast,economia,0.2,0.0048137973,3.9395473
1pfyyqn,kast,pinochet_ddhh,0.3,3.5377064,-2.80946
1poa38s,kast,medios_fakenews,0.5,-2.4747896,5.65997
1oipg6x,kast,economia,0.4,-3.5835962,1.4141632
1nfg06h,kast,religion_valvores,0.25,1.7448605,1.6534387
1oljdss,kast,democracia,0.25,5.7224193,1.329363
1p2igsm,kast,identidad,0.35,-1.8993677,12.719901
1poiwbl,kast,identidad,0.4,-3.5718722,-0.7720293
1pnqepc,kast,campana_electoral,0.2,3.5076733,1.2296596
1ot2eqj,kast,moral,0.84,1.4776204,5.4719768
1powvz2,kast,venezuela_latam,0.5,2.5715756,3.9739897
1p7e2lx,kast,campana_electoral,0.5,-1.222554,5.710623
1p16rbo,kast,economia,0.35,1.8298244,3.5933573
1p7d3wv,kast,democracia,0.54,0.40613616,-0.15558001
1pxyb0m,kast,religion_valvores,0.35,-0.21024571,-2.4922814
1ny1p4b,kast,democracia,0.35,2.1160505,1.7395853
1o0zgsf,kast,identidad,0.8125,0.6859039,1.671899
1obinei,kast,campana_electoral,0.6,-3.456644,-1.1653703
1p89unk,kast,campana_electoral,0.25,2.023586,1.1295329
1o6fgco,kast,identidad,0.55,-0.3871215,2.3218882
1nfg06h,kast,identidad,0.3,-2.2773316,2.8349721
1oljdss,kast,democracia,0.2,-1.336232,3.2537942
1oz1hf1,kast,identidad,0.25,2.8429685,3.9240906
1omqzqq,kast,campana_electoral,0.5,-4.931012,2.2863066
1p0uyvs,kast,economia,0.81,2.18804,3.1266103
1oz2z5x,kast,identidad,0.35,-3.2009695,-0.60133
1pf3am1,kast,seguridad,0.35,2.5763571,1.167784
1ozr3vo,kast,religion_valvores,0.55,2.4778652,0.03965345
1pka6wa,kast,medios_fakenews,0.405,2.5381446,-0.26604897
1pegdde,kast,seguridad,0.65,-0.97062504,4.265951
1n0vxu9,kast,moral,0.8775,-2.2880685,-2.3726223
1pn7j5t,kast,moral,0.6,0.53173065,3.046242
1po4b8a,kast,campana_electoral,0.55,0.7812729,2.083324
1ptdkat,kast,moral,0.45,-0.05800081,6.570116
1ple47a,kast,seguridad,0.4,1.028063,0.919722
1pmaof5,kast,seguridad,0.25,2.3622384,2.9489944
1ow6d1w,kast,identidad,0.4,6.4073586,-0.18038607
1n674e9,kast,campana_electoral,0.3,-3.8926055,0.8703835
1p8v9fu,kast,campana_electoral,0.7475,1.7932435,4.9153247
1oad274,kast,identidad,0.2,-2.7759278,-2.924018
1mp9p4w,kast,seguridad,0.7,0.18293403,4.632825
1p93d1j,kast,economia,0.65,3.2958343,-2.519319
1p31j46,kast,democracia,0.15,0.09765797,-1.3938502
1powvz2,kast,seguridad,0.87,2.1822248,-0.50169545
1ngvuav,kast,campana_electoral,0.1,-0.365705,2.9765983
1pe2hi2,kast,pinochet_ddhh,0.3,3.2776845,-2.1780086
1pd9nic,kast,democracia,0.675,6.6272964,1.3414452
1p00s6y,kast,pinochet_ddhh,0.65,3.2685084,-2.7660453
1mylz39,kast,identidad,0.5,-2.1208093,1.7885486
1mz14t6,kast,moral,0.33,-0.40833113,-2.3737376
1puw0am,kast,identidad,0.35,0.5081042,-2.208793
1ohbx9k,kast,identidad,0.63,-4.0289297,2.376161
1pd5qyw,kast,campana_electoral,0.3,-0.3830519,4.743822
1qi3nw6,kast,medios_fakenews,0.55,0.59116614,4.9079423
1p0uyvs,kast,campana_electoral,0.45,2.0508811,1.1288072
1p74xh9,kast,democracia,0.3,6.4103384,-3.9044232
1pmrg54,kast,seguridad,0.2,1.0688653,4.636687
1p1exmr,kast,democracia,1.0,2.1821775,5.2715263
1oqfvuz,kast,identidad,0.675,0.69505847,1.8305129
1p7e2lx,kast,economia,0.7425,2.8689053,6.9899306
1ppn7u7,kast,seguridad,0.2,0.7322147,1.9509805
1pnieic,kast,democracia,0.55,-3.1245947,0.04488773
1oa15qu,kast,moral,0.63,1.7634689,3.231846
1nfzkbx,kast,democracia,0.2,-7.092047,6.62281
1p1ciuo,kast,economia,0.675,2.5745625,7.326425
1p10nf2,kast,economia,0.55,1.1088905,5.2104664
1od9th6,kast,identidad,0.45,-1.1286865,-0.97250557
1plceiw,kast,economia,0.55,0.72576576,3.9771194
1p34czb,kast,economia,0.84,2.1933603,6.8148985
1op1i7t,kast,economia,0.15,2.2808843,1.5596372
1po2ohb,kast,identidad,0.6,1.9095598,3.056957
1oz1a7g,kast,identidad,0.4,-1.0466835,-1.9347895
1naan7q,kast,democracia,0.4,-6.889466,6.4605227
1p1exmr,kast,democracia,0.3,-4.343423,2.379377
1mpllir,kast,economia,0.25,3.4991002,-2.0738797
1obsxgt,kast,identidad,0.45,0.70971674,-0.546639
1onhs2n,kast,democracia,0.87,6.4868417,2.2303374
1o2qfk1,kast,democracia,0.55,-0.60256875,0.21693496
1pd5qyw,kast,medios_fakenews,0.6,1.1585312,6.066864
1p2ha51,kast,medios_fakenews,0.25,-2.472199,5.6414967
1pam1pk,kast,seguridad,0.35,0.101304896,-1.5808668
1n8d2n7,kast,medios_fakenews,0.45,3.5170436,0.4747466
1p16rvs,kast,democracia,0.35,-0.68103844,5.210071
1pn7j5t,kast,campana_electoral,0.45,3.5362413,1.5598112
1p89unk,kast,seguridad,0.3,-5.441344,0.27461764
1nx4aor,kast,campana_electoral,0.5,-4.38438,5.063432
1n8sxn0,kast,identidad,0.25,-2.5452511,5.7417746
1ozc8cy,kast,democracia,0.55,-4.7029834,4.7230997
1ny1p4b,kast,identidad,0.1,-2.235709,-2.606093
1ong6oe,kast,identidad,0.6,-5.5913305,0.6932294
1p4yiav,kast,democracia,0.25,0.20265155,-5.689473
1p0ecqs,kast,economia,0.45,3.5418375,2.1863518
1obinei,kast,democracia,0.2,-2.8426025,-1.3988206
1pf7fn8,kast,democracia,0.55,-0.5207411,0.8675037
1pmsm7g,kast,identidad,0.2,0.82557964,-1.8979397
1pe2hi2,kast,democracia,0.35,-6.140411,6.6961336
1pcitiz,kast,economia,0.45,2.22137,6.7984815
1p14trf,kast,medios_fakenews,0.15,2.0495887,1.6117771
1mp9p4w,kast,campana_electoral,0.3,-1.9548036,11.60215
1okcu12,kast,democracia,0.65,-1.826988,11.722605
1or1rpy,kast,identidad,0.6,0.4841347,-2.202163
1nk9zok,kast,campana_electoral,0.6,2.6287284,7.211648
1oqh6td,kast,campana_electoral,0.2,-2.400466,-0.2393639
1od9th6,kast,pinochet_ddhh,0.45,-3.0256393,3.4647985
1oyzrkp,kast,democracia,0.65,5.120021,0.43172866
1p93d1j,kast,seguridad,0.78,2.5874195,-0.72276306
1pbg3gu,kast,identidad,0.3,-2.190874,-2.5421393
1oz2z5x,kast,democracia,0.4,-4.010798,2.3057055
1p74xh9,kast,democracia,0.5,-1.2634057,5.687087
1pam1pk,kast,seguridad,0.3,-1.5599735,1.0757972
1mz14t6,kast,democracia,0.3,-0.88151515,-1.7631719
1pf2ss6,kast,moral,0.605,-1.4730942,3.274466
1p7a8l6,kast,democracia,0.62,-4.186415,-0.8542959
1o5h8m1,kast,economia,0.55,0.0003815869,6.7495933
1or1rpy,kast,pinochet_ddhh,0.4,3.2398047,-2.5513096
1mxxrxq,kast,seguridad,0.5,-1.796807,0.51147014
1n4edur,kast,religion_valvores,0.15,-2.7123084,1.7791337
1pob83o,kast,economia,0.15,-3.851091,-0.8823813
1oc0vcc,kast,campana_electoral,0.3,-4.5906596,4.976906
1p1mx6e,kast,seguridad,0.5,0.9738665,0.8334207
1p51ed0,kast,democracia,0.25,3.3847296,1.7438213
1o4w0pp,kast,seguridad,0.4,-2.2596102,-2.631151
1p7f3zy,kast,campana_electoral,0.15,-2.2558513,0.8946255
1oysbv9,kast,identidad,0.345,-2.522887,-2.2855506
1mty8z4,kast,identidad,0.35,0.19157304,-1.6379296
1ple47a,kast,economia,0.3,0.79594535,2.0124583
1pirp9d,kast,campana_electoral,0.66,-4.4716306,5.0882897
1p86qoj,kast,campana_electoral,0.6,-2.3315384,1.7803849
1p685ly,kast,campana_electoral,0.3,3.521514,2.0183187
1ocxx6v,kast,identidad,0.65,-0.06209305,2.0336685
1mzcsnh,kast,campana_electoral,0.8,1.3780992,5.9420857
1oj9mzu,kast,democracia,0.35,0.7420889,1.9815063
1ov9fj7,kast,campana_electoral,0.35,-1.3954093,3.892384
1pf3am1,kast,campana_electoral,0.7425,5.378021,-0.9034143
1pgj05n,kast,economia,0.25,2.5471513,7.4895015
1myx8c3,kast,democracia,1.0,-7.038219,6.603804
1ner93l,kast,democracia,0.35,4.604588,13.013664
1pde2af,kast,seguridad,0.65,1.3391972,5.9253273
1pjvw2h,kast,economia,0.45,1.5167542,5.0397415
1p7f3zy,kast,identidad,0.35,-1.6991798,-0.063344136
1p34czb,kast,democracia,0.4,-4.728064,4.619719
1pe41e1,kast,economia,0.45,-0.37924364,2.8253255
1oysas5,kast,moral,0.69,-1.013937,3.3688369
1ooc144,kast,democracia,0.55,-2.1494648,11.6981945
1n87t00,kast,pinochet_ddhh,0.4,3.2652104,-2.3211071
1nhlhxr,kast,economia,0.25,0.96697944,-1.745891
1pthc6c,kast,campana_electoral,0.4,-2.3245702,-0.29019785
1o56rrp,kast,democracia,0.2,-7.141868,6.645361
1pka6wa,kast,campana_electoral,0.35,-0.0025757488,6.6891437
1pod85k,kast,migracion,0.87,0.6278998,1.9658625
1ov4fyd,kast,democracia,0.4,2.3791018,-6.6999016
1p34czb,kast,economia,0.45,1.327052,5.870873
1n4edur,kast,religion_valvores,0.15,-0.7163409,1.2818699
1mlnq69,kast,campana_electoral,0.3,0.07760481,6.815377
1qim4ov,kast,moral,0.605,3.054795,0.6943328
1ozr3vo,kast,economia,0.25,2.2207053,3.3955352
1p3n5tm,kast,democracia,0.3,4.267902,-0.29853645
1pbymni,kast,economia,0.5,0.9976779,5.1936235
1qhac25,kast,seguridad,0.58,-3.7229362,-0.7666565
1p83ikt,kast,seguridad,0.3,1.6565592,4.8429713
1ndr64f,kast,economia,0.55,-1.7023278,11.357239
1pnz10i,kast,migracion,0.8775,2.5639153,0.9421085
1ple47a,kast,economia,0.84,-4.584111,5.3195295
1psxedk,kast,campana_electoral,0.55,-5.6229134,0.8300747
1o5t5pd,kast,democracia,0.875,3.5334208,1.8672664
1mtgscm,kast,campana_electoral,0.1,-2.98729,1.6252632
1p7d3wv,kast,identidad,0.8775,0.2524983,4.6307487
1pd9nic,kast,seguridad,0.65,0.90352523,-1.7518777
1pl1jzm,kast,venezuela_latam,0.5,0.67149234,3.934543
1pf2ss6,kast,campana_electoral,0.66,5.5881524,-1.1052591
1oh1etq,kast,seguridad,0.5,2.48643,3.9187186
1pob83o,kast,campana_electoral,0.81,2.501246,2.3780298
1odgz5s,kast,democracia,0.7425,0.33811146,-3.982767
1nqa504,kast,democracia,0.4,1.5895488,5.238815
1n9gm4a,kast,campana_electoral,0.2,-1.2050797,1.8354319
1ohbtyg,kast,democracia,0.7425,1.4328692,-6.6612334
1p40bf8,kast,economia,0.405,2.5271,3.712289
1pd26jq,kast,identidad,0.6,2.3417134,-0.82379776
1p6n42e,kast,seguridad,0.55,-0.3643914,4.355515
1mvb4ik,kast,economia,0.24,-4.583973,5.4796
1ozm1a8,kast,democracia,0.25,0.040547054,6.738907
1nd4ghg,kast,democracia,0.25,6.3938823,-3.8633173
1oz2bt9,kast,venezuela_latam,0.55,2.394032,3.0337214
1o9l7iy,kast,campana_electoral,0.6,-2.7788415,2.3684628
1ozc8cy,kast,medios_fakenews,0.4,-0.8835814,5.1029387
1ptu68g,kast,economia,0.3,-1.5486736,4.3781853
1pjpiso,kast,democracia,0.35,-1.9605238,11.780471
1pe2hi2,kast,democracia,0.15,2.276339,2.3199883
1ozevhf,kast,seguridad,0.25,-0.5260501,4.318298
1oz29fc,kast,democracia,0.25,1.8827257,-7.0966144
1p2lz2i,kast,campana_electoral,0.5,1.0504072,0.98608094
1p685ly,kast,campana_electoral,0.45,-3.8771656,-1.1534748
1pf8xgv,kast,economia,0.35,-0.47900122,2.5498624
1nr0tj4,kast,democracia,0.6525,-0.3553274,2.108674
1pwle7q,kast,identidad,0.35,2.0935245,0.7593221
1p0ldsb,kast,venezuela_latam,0.35,-0.11414941,1.1570761
1p8jgq5,kast,identidad,0.2,3.565744,1.8936899
1nw8ejr,kast,identidad,0.81,-3.7398405,-1.2650689
1p0v907,kast,economia,0.22,-0.9251911,3.5657158
1ox62r9,kast,moral,0.3,-0.7434699,3.5586998
1p2z4yu,kast,identidad,0.55,2.4389095,0.35081148
1ogls70,kast,campana_electoral,0.3,-5.2823253,-2.5892665
1p0rest,kast,economia,0.65,2.5854583,3.9787452
1pi5fre,kast,seguridad,0.36,3.0081277,-2.3512168
1pgj05n,kast,campana_electoral,0.25,-1.9048277,12.708475
1pmve6s,kast,campana_electoral,0.81,-1.4237981,0.972601
1p1hfm1,kast,identidad,0.45,0.57839924,-2.1728559
1pd5qyw,kast,economia,0.45,-1.7077619,11.648566
1ohd1qn,kast,democracia,0.25,-0.45037225,-5.4053254
1pl21l0,kast,economia,0.35,2.7287185,7.2198563
1p89unk,kast,democracia,0.15,-0.23989336,3.577626
1pptqgo,kast,venezuela_latam,0.55,0.87902546,3.958821
1oxt3nz,kast,economia,0.45,-3.4215868,1.648294
1n51nwp,kast,campana_electoral,0.45,-4.655411,4.952439
1pd5qyw,kast,economia,0.4,1.0735327,2.8965852
1p1trax,kast,economia,0.35,2.728831,7.3515754
1p7liqk,kast,migracion,0.35,0.6479239,4.8754296
1o22hkn,kast,pinochet_ddhh,0.65,3.3204944,-2.280545
1p504q9,kast,identidad,0.54,0.38003397,-2.2292666
1pcbwv0,kast,democracia,0.5,0.3220447,0.5595505
1pca9qu,kast,identidad,0.6,-1.1825151,-1.725488
1n3pd37,kast,economia,0.25,2.573125,6.9034185
1pjvw2h,kast,campana_electoral,0.72,5.3407764,-0.9334084
1ot9qed,kast,democracia,0.4,-0.29235664,5.818252
1o5h8m1,kast,identidad,0.55,0.71145576,-0.59897375
1p51ed0,kast,moral,0.495,0.6706957,4.40865
1n0bul0,kast,identidad,0.6,-0.5889459,-1.6188198
1p1exmr,kast,moral,0.55,-0.40125874,4.3413157
1p1ciuo,kast,democracia,0.8,2.659333,-6.7431054
1ozic2j,kast,economia,0.25,-5.2759547,-2.5777552
1ozic2j,kast,economia,0.6,1.9309964,-1.0446095
1nzuzzd,kast,campana_electoral,0.25,-1.8903214,3.2042034
1oz031c,kast,moral,0.2,1.9921678,2.1709557
1nsqp17,kast,economia,0.6525,2.6123476,7.1623116
1px42s9,kast,moral,0.385,0.30751747,1.9554772
1n68ebj,kast,economia,0.65,2.1232963,0.8142266
1oj69mr,kast,economia,0.55,2.7602804,7.3662257
1pkzyp1,kast,economia,0.6,1.5377966,1.7326463
1p2wsmz,kast,democracia,0.45,0.08263572,0.8765501
1p6qea8,kast,economia,0.55,-1.824665,1.014211
1n8mpeg,kast,identidad,0.6,-1.1284504,-0.9145737
1plltkq,kast,economia,0.55,0.5774397,4.362749
1pnb2uk,kast,democracia,0.35,0.12495045,5.308929
1p6qea8,kast,seguridad,0.5,0.3550926,4.195312
1o594w6,kast,campana_electoral,0.15,-1.2539889,5.708341
1pf3am1,kast,identidad,0.25,0.36183137,-1.2842414
1p2ha51,kast,medios_fakenews,0.5,-2.1945403,2.780532
1n6thgd,kast,campana_electoral,0.5,-4.5839224,5.095177
1piy6kx,kast,campana_electoral,0.1,-0.10225459,5.578088
1pbjqv9,kast,democracia,0.45,-0.2658213,5.802548
1my7qns,kast,campana_electoral,0.65,-4.5969987,5.018447
1p14trf,kast,identidad,0.35,-0.540474,-2.315199
1ok2i5j,kast,pinochet_ddhh,0.4,3.52041,-2.2314131
1pcs5o5,kast,economia,0.15,-0.12396022,0.6019735
1pf3am1,kast,identidad,0.5,-0.16647445,-2.4874585
1owfqr4,kast,seguridad,0.6,-0.07073549,5.5769777
1p5274h,kast,democracia,0.3,6.5398455,-4.1282277
1p4yf44,kast,campana_electoral,0.45,5.383866,-0.93708086
1n9j9wc,kast,campana_electoral,0.5075,3.4900608,0.5025822
1oh1etq,kast,seguridad,0.7,1.3308359,3.3695915
1p02rmj,kast,identidad,0.45,-1.9859949,0.76753104
1owfqr4,kast,campana_electoral,0.45,-3.7826295,1.3158867
1owfqr4,kast,seguridad,0.65,1.2680705,0.27831063
1nrbick,kast,identidad,0.6,13.665093,3.3434649
1pglvok,kast,seguridad,0.15,0.9336123,5.8388796
1ozr3vo,kast,economia,0.45,4.6381288,0.49075356
1pptqgo,kast,identidad,0.2,1.2284325,0.67936176
1pddlid,kast,migracion,0.2,2.7409313,5.559913
1pmr1xp,kast,campana_electoral,0.7425,-2.0652633,0.4280158
1moovfw,kast,democracia,0.15,5.8981485,-4.1075172
1p5t6u5,kast,seguridad,0.6,0.24986476,3.463046
1mwgz7c,kast,seguridad,0.45,-2.0521,-1.643573
1nhqw9l,kast,economia,0.35,-2.302729,2.507013
1n7yy6v,kast,medios_fakenews,0.5075,1.0490913,0.8866364
1p8jgq5,kast,medios_fakenews,0.1,-1.8713593,3.6355054
1pf3am1,kast,identidad,0.7975,2.2767627,1.6660721
1ozic2j,kast,medios_fakenews,0.2,1.9926304,1.5583885
1oqftsg,kast,economia,0.35,2.5918894,7.3622465
1p0fohd,kast,moral,0.5,-4.9066906,5.1051693
1os4ghk,kast,identidad,0.45,0.6430145,1.8101823
1ozic2j,kast,economia,0.4,0.31783342,5.0280795
1oz27jz,kast,economia,0.5,2.2619975,4.0961647
1p0usif,kast,identidad,0.55,-1.8824552,-1.3533418
1p31j46,kast,democracia,0.2,0.5164576,-5.141766
1ppf0hc,kast,democracia,0.3,0.055656478,4.2991433
